label,id,timestamp,ble_id,place,proxi,detector,batt
8-303,395492318,1716275603,15164,8-302,14.1254,1,0
8-303,395492320,1716275604,15164,8-303,5.01187,2,0
8-303,395492322,1716275604,15164,8-303,2.23872,1,0
8-303,395492327,1716275606,15155,8-303,10.0,2,0
8-303,395492329,1716275607,15155,8-303,5.01187,1,0
8-303,395492331,1716275607,15155,8-303,11.2202,0,0
8-303,395492333,1716275607,15158,8-302,8.91251,1,0
8-303,395492336,1716275609,15158,8-303,6.30957,1,0
8-303,395492343,1716275611,15164,8-303,10.0,0,0
8-303,395492345,1716275612,15164,8-302,15.8489,1,0
8-303,395492351,1716275615,15158,8-303,1.12202,2,0
8-303,395492352,1716275615,15155,8-303,4.46684,1,0
8-303,395492353,1716275615,15159,8-303,8.91251,1,0
8-303,395492354,1716275615,15158,8-303,5.62341,1,0
8-303,395492357,1716275616,15155,8-302,79.4328,0,0
8-303,395492361,1716275619,15164,8-303,11.2202,2,0
8-303,395492362,1716275619,15164,8-303,5.01187,1,0
8-303,395492365,1716275620,15164,8-303,11.2202,0,0
8-303,395492366,1716275620,15164,8-302,17.7828,1,0
8-303,395492368,1716275621,15159,8-303,3.98107,2,0
8-303,395492369,1716275621,15159,8-303,10.0,1,0
8-303,395492370,1716275622,15159,8-303,22.3872,0,0
8-303,395492371,1716275622,15159,8-320,12.5893,1,0
8-303,395492373,1716275623,15155,8-303,4.46684,1,0
8-303,395492375,1716275624,15158,8-302,44.6684,0,0
8-303,395492377,1716275624,15158,8-302,39.8107,1,0
8-303,395492382,1716275628,15164,8-303,10.0,2,0
8-303,395492384,1716275628,15164,8-303,12.5893,0,0
8-303,395492387,1716275630,15159,8-303,11.2202,1,0
8-303,395492389,1716275630,15159,8-303,3.98107,2,0
8-303,395492392,1716275630,15159,8-320,31.6228,1,0
8-303,395492393,1716275630,15159,8-303,44.6684,0,0
8-303,395492396,1716275632,15158,8-303,6.30957,1,0
8-303,395492398,1716275632,15158,8-303,0.446684,2,0
8-303,395492409,1716275638,15159,8-303,17.7828,1,0
8-303,395492410,1716275638,15155,8-302,141.254,0,0
8-303,395492412,1716275639,15159,8-303,3.54813,2,0
8-303,395492414,1716275639,15158,8-303,19.9526,0,0
8-303,395492416,1716275639,15158,8-320,44.6684,1,0
8-303,395492419,1716275641,15158,8-302,14.1254,1,0
8-303,395492422,1716275643,15164,8-303,2.23872,1,0
8-303,395492423,1716275643,15164,8-302,35.4813,0,0
8-303,395492431,1716275645,15159,8-320,11.2202,1,0
8-303,395492434,1716275647,15155,8-303,2.81838,1,0
8-303,395492435,1716275647,15159,8-303,11.2202,1,0
8-303,395492436,1716275647,15158,8-303,5.01187,1,0
8-303,395492438,1716275647,15159,8-302,14.1254,1,0
8-303,395492440,1716275647,15158,8-302,15.8489,1,0
8-303,395492441,1716275647,15159,8-303,28.1838,0,0
8-303,395492442,1716275647,15155,8-303,8.91251,2,0
8-303,395492443,1716275647,15159,8-303,4.46684,2,0
8-303,395492444,1716275647,15158,8-303,0.446684,2,0
8-303,395492446,1716275647,15158,8-320,44.6684,1,0
8-303,395492449,1716275651,15164,8-302,44.6684,0,0
8-303,395492450,1716275651,15164,8-303,4.46684,1,0
8-303,395492452,1716275651,15164,8-302,11.2202,1,0
8-303,395492455,1716275651,15164,8-303,12.5893,2,0
8-303,395492459,1716275653,15159,8-303,22.3872,0,0
8-303,395492461,1716275653,15159,8-303,5.62341,2,0
8-303,395492463,1716275654,15159,8-320,19.9526,1,0
8-303,395492464,1716275655,15159,8-302,141.254,0,0
8-303,395492466,1716275655,15155,8-303,5.62341,1,0
8-303,395492467,1716275655,15158,8-303,5.62341,1,0
8-303,395492469,1716275655,15155,8-302,25.1189,1,0
8-303,395492470,1716275655,15158,8-302,22.3872,1,0
8-303,395492471,1716275656,15155,8-303,14.1254,0,0
8-303,395492472,1716275656,15158,8-303,7.94328,0,0
8-303,395492474,1716275656,15158,8-303,1.25892,2,0
8-303,395492476,1716275656,15158,8-320,22.3872,1,0
8-303,395492479,1716275660,15164,8-302,12.5893,1,0
8-303,395492480,1716275660,15164,8-303,15.8489,0,0
8-303,395492481,1716275660,15164,8-303,8.91251,2,0
8-303,395492483,1716275660,15164,8-320,79.4328,1,0
8-303,395492484,1716275662,15159,8-303,8.91251,1,0
8-303,395492485,1716275662,15159,8-302,63.0957,1,0
8-303,395492487,1716275662,15159,8-303,5.62341,2,0
8-303,395492489,1716275662,15159,8-320,28.1838,1,0
8-303,395492491,1716275664,15155,8-303,3.16228,1,0
8-303,395492492,1716275664,15158,8-303,5.62341,1,0
8-303,395492504,1716275669,15159,8-302,56.2341,0,0
8-303,395492505,1716275670,15159,8-302,17.7828,1,0
8-303,395492508,1716275671,15159,8-303,3.54813,2,0
8-303,395492510,1716275671,15159,8-320,35.4813,1,0
8-303,395492511,1716275671,15158,8-320,22.3872,1,0
8-303,395492514,1716275672,15158,8-302,7.94328,1,0
8-303,395492515,1716275672,15158,8-303,5.01187,1,0
8-303,395492522,1716275676,15164,8-303,15.8489,0,0
8-303,395492524,1716275676,15164,8-302,15.8489,1,0
8-303,395492529,1716275679,15155,8-303,5.62341,1,0
8-303,395492530,1716275679,15155,8-302,63.0957,1,0
8-303,395492532,1716275679,15159,8-303,3.54813,2,0
8-303,395492533,1716275679,15158,8-303,1.25892,2,0
8-303,395492535,1716275680,15155,8-302,100.0,0,0
8-303,395492539,1716275683,15164,8-303,11.2202,0,0
8-303,395492543,1716275684,15164,8-302,56.2341,0,0
8-303,395492546,1716275686,15159,8-303,3.98107,2,0
8-303,395492548,1716275687,15155,8-302,28.1838,1,0
8-303,395492549,1716275687,15159,8-303,11.2202,1,0
8-303,395492550,1716275687,15158,8-302,17.7828,1,0
8-303,395492551,1716275687,15158,8-303,6.30957,1,0
8-303,395492659,1716275723,15164,8-320,70.7946,1,0
8-303,395492663,1716275725,15159,8-302,17.7828,1,0
8-303,395492664,1716275725,15159,8-303,10.0,1,0
8-303,395492666,1716275726,15155,8-303,50.1187,0,0
8-303,395492667,1716275726,15159,8-303,22.3872,0,0
8-303,395492668,1716275726,15155,8-303,8.91251,2,0
8-303,395492669,1716275727,15159,8-303,3.98107,2,0
8-303,395492672,1716275727,15159,8-320,19.9526,1,0
8-303,395492673,1716275727,15158,8-320,63.0957,1,0
8-303,395492674,1716275727,15158,8-302,8.91251,1,0
8-303,395492676,1716275727,15155,8-303,2.81838,1,0
8-303,395492677,1716275727,15158,8-303,10.0,1,0
8-303,395492679,1716275729,15158,8-303,3.16228,2,0
8-303,395492687,1716275731,15164,8-302,44.6684,0,0
8-303,395492688,1716275731,15164,8-320,79.4328,1,0
8-303,395492690,1716275732,15164,8-303,2.81838,1,0
8-303,395492694,1716275733,15159,8-320,31.6228,1,0
8-303,395492695,1716275734,15159,8-302,25.1189,1,0
8-303,395492696,1716275734,15159,8-303,10.0,1,0
8-303,395492697,1716275735,15159,8-303,25.1189,0,0
8-303,395492698,1716275735,15158,8-303,7.94328,0,0
8-303,395492700,1716275735,15159,8-303,5.01187,2,0
8-303,395492701,1716275735,15158,8-303,0.446684,2,0
8-303,395492709,1716275739,15164,8-303,4.46684,2,0
8-303,395492710,1716275739,15164,8-302,56.2341,0,0
8-303,395492712,1716275740,15164,8-302,15.8489,1,0
8-303,395492714,1716275740,15164,8-303,2.23872,1,0
8-303,395492719,1716275742,15159,8-320,22.3872,1,0
8-303,395492721,1716275742,15155,8-303,5.62341,1,0
8-303,395492722,1716275743,15155,8-303,12.5893,0,0
8-303,395492724,1716275744,15155,8-303,8.91251,2,0
8-303,395492725,1716275744,15158,8-303,0.446684,2,0
8-303,395492726,1716275744,15158,8-302,17.7828,1,0
8-303,395492733,1716275747,15164,8-303,4.46684,1,0
8-303,395492736,1716275748,15164,8-302,63.0957,0,0
8-303,395492738,1716275748,15164,8-303,7.94328,2,0
8-303,395492739,1716275748,15164,8-302,28.1838,1,0
8-303,395492741,1716275748,15164,8-320,56.2341,1,0
8-303,395492746,1716275750,15155,8-303,8.91251,2,0
8-303,395492747,1716275750,15155,8-302,70.7946,1,0
8-303,395492749,1716275750,15159,8-320,44.6684,1,0
8-303,395492750,1716275751,15158,8-303,5.01187,1,0
8-303,395492751,1716275752,15155,8-302,63.0957,0,0
8-303,395492752,1716275752,15158,8-302,39.8107,0,0
8-303,395492754,1716275752,15158,8-303,0.446684,2,0
8-303,395492758,1716275755,15164,8-320,79.4328,1,0
8-303,395492760,1716275755,15164,8-303,2.23872,1,0
8-303,395492763,1716275756,15164,8-302,50.1187,0,0
8-303,395492766,1716275757,15159,8-303,28.1838,1,0
8-303,395492769,1716275758,15159,8-303,25.1189,0,0
8-303,395492771,1716275759,15159,8-302,19.9526,1,0
8-303,395492772,1716275759,15159,8-303,3.54813,2,0
8-303,395492774,1716275759,15158,8-320,22.3872,1,0
8-303,395492775,1716275759,15158,8-303,5.62341,1,0
8-303,395492777,1716275763,15164,8-302,28.1838,1,0
8-303,395492778,1716275763,15164,8-303,12.5893,2,0
8-303,395492782,1716275764,15164,8-303,11.2202,0,0
8-303,395492783,1716275764,15164,8-302,39.8107,0,0
8-303,395492784,1716275765,15159,8-320,11.2202,1,0
8-303,395492785,1716275766,15159,8-303,10.0,1,0
8-303,395492787,1716275766,15155,8-303,50.1187,0,0
8-303,395492788,1716275766,15159,8-302,79.4328,0,0
8-303,395492789,1716275767,15159,8-302,79.4328,1,0
8-303,395492791,1716275767,15155,8-303,7.94328,2,0
8-303,395492792,1716275767,15159,8-303,5.62341,2,0
8-303,395492793,1716275767,15158,8-303,1.12202,2,0
8-303,395492794,1716275767,15158,8-320,22.3872,1,0
8-303,395492795,1716275768,15155,8-303,5.62341,1,0
8-303,395492800,1716275771,15164,8-302,14.1254,1,0
8-303,395492802,1716275771,15164,8-303,8.91251,2,0
8-303,395492804,1716275772,15164,8-303,3.16228,1,0
8-303,395492806,1716275772,15164,8-303,11.2202,0,0
8-303,395492808,1716275773,15159,8-302,17.7828,1,0
8-303,395492811,1716275774,15159,8-303,3.98107,2,0
8-303,395492814,1716275774,15155,8-303,6.30957,1,0
8-303,395492815,1716275775,15159,8-302,79.4328,0,0
8-303,395492817,1716275776,15158,8-320,19.9526,1,0
8-303,395492829,1716275782,15159,8-320,11.2202,1,0
8-303,395492830,1716275782,15159,8-303,3.54813,2,0
8-303,395492832,1716275783,15159,8-303,10.0,1,0
8-303,395492833,1716275783,15158,8-303,6.30957,1,0
8-303,395492835,1716275784,15158,8-320,19.9526,1,0
8-303,395492841,1716275787,15164,8-302,44.6684,0,0
8-303,395492843,1716275787,15164,8-303,2.51189,1,0
8-303,395492844,1716275788,15164,8-302,15.8489,1,0
8-303,395492848,1716275789,15159,8-303,25.1189,1,0
8-303,395492849,1716275790,15159,8-320,31.6228,1,0
8-303,395492852,1716275791,15158,8-302,35.4813,0,0
8-303,395492853,1716275792,15155,8-303,6.30957,1,0
8-303,395492854,1716275792,15158,8-303,10.0,1,0
8-303,395492855,1716275792,15158,8-302,11.2202,1,0
8-303,395492860,1716275795,15164,8-303,11.2202,2,0
8-303,395492861,1716275795,15164,8-302,44.6684,0,0
8-303,395492862,1716275796,15164,8-303,2.23872,1,0
8-303,395492863,1716275796,15164,8-302,14.1254,1,0
8-303,395492865,1716275797,15159,8-302,112.202,0,0
8-303,395492866,1716275798,15159,8-303,25.1189,1,0
8-303,395492867,1716275798,15159,8-302,14.1254,1,0
8-303,395492869,1716275799,15159,8-320,11.2202,1,0
8-303,395492870,1716275799,15159,8-303,31.6228,0,0
8-303,395492872,1716275799,15155,8-303,10.0,2,0
8-303,395492873,1716275799,15159,8-303,3.54813,2,0
8-303,395492874,1716275799,15158,8-303,0.501187,2,0
8-303,395492875,1716275800,15158,8-303,7.07946,1,0
8-303,395492876,1716275800,15158,8-302,8.91251,1,0
8-303,395492880,1716275803,15164,8-320,100.0,1,0
8-303,395492881,1716275803,15164,8-303,14.1254,0,0
8-303,395492882,1716275803,15164,8-303,3.98107,2,0
8-303,395492883,1716275803,15164,8-302,31.6228,0,0
8-303,395492884,1716275804,15164,8-303,1.99526,1,0
8-303,395492887,1716275805,15159,8-303,31.6228,0,0
8-303,395492888,1716275806,15159,8-302,50.1187,0,0
8-303,395492889,1716275806,15159,8-303,3.54813,2,0
8-303,395492977,1716275843,15164,8-303,11.2202,0,0
8-303,395492980,1716275844,15164,8-303,2.81838,1,0
8-303,395492982,1716275844,15164,8-303,11.2202,2,0
8-303,395492985,1716275845,15159,8-320,12.5893,1,0
8-303,395492986,1716275846,15155,8-303,2.81838,1,0
8-303,395492987,1716275846,15159,8-303,11.2202,1,0
8-303,395492988,1716275846,15155,8-302,31.6228,1,0
8-303,395492989,1716275846,15155,8-303,8.91251,2,0
8-303,395492991,1716275846,15159,8-303,3.54813,2,0
8-303,395492992,1716275846,15159,8-302,35.4813,1,0
8-303,395492993,1716275847,15159,8-302,100.0,0,0
8-303,395492994,1716275847,15155,8-303,50.1187,0,0
8-303,395492996,1716275848,15158,8-320,25.1189,1,0
8-303,395492998,1716275848,15158,8-303,6.30957,1,0
8-303,395493001,1716275849,15158,8-303,0.446684,2,0
