label,8-302-0,8-302-1,8-303-0,8-303-1,8-303-2
8-303,79.4328,100.0,11.2202,4.575846,10.0
8-303,100.0,100.0,100.0,4.46684,100.0
8-303,100.0,100.0,100.0,3.3678666666666666,100.0
8-303,100.0,100.0,100.0,3.3678666666666666,8.91251
8-303,100.0,100.0,100.0,4.220895,8.91251
8-303,100.0,25.1189,100.0,4.220895,8.91251
8-303,100.0,25.1189,14.1254,4.220895,8.91251
8-303,100.0,25.1189,14.1254,4.077952,8.91251
8-303,100.0,50.43676666666667,14.1254,4.3928449999999994,100.0
8-303,100.0,50.43676666666667,14.1254,4.638958,100.0
8-303,100.0,50.43676666666667,14.1254,4.638958,100.0
8-303,100.0,45.63975,100.0,4.3928449999999994,100.0
8-303,100.0,100.0,50.1187,100.0,100.0
8-303,100.0,100.0,50.1187,100.0,8.91251
8-303,100.0,100.0,50.1187,2.81838,8.91251
8-303,100.0,100.0,50.1187,4.220895,8.91251
8-303,100.0,100.0,25.099099999999996,4.220895,8.91251
8-303,100.0,100.0,25.099099999999996,4.220895,8.91251
8-303,100.0,100.0,25.099099999999996,4.220895,8.912510000000001
8-303,100.0,70.7946,25.099099999999996,4.220895,8.912510000000001
8-303,63.0957,70.7946,25.099099999999996,4.220895,8.912510000000001
8-303,63.0957,70.7946,37.6089,5.62341,8.91251
8-303,63.0957,70.7946,37.6089,5.62341,8.427895
8-303,63.0957,70.7946,37.6089,5.62341,8.427895
8-303,63.0957,70.7946,50.1187,5.96649,8.266356666666667
8-303,100.0,100.0,50.1187,6.1380300000000005,7.94328
8-303,100.0,100.0,100.0,6.30957,10.0
8-303,100.0,100.0,100.0,2.81838,100.0
8-303,100.0,31.6228,100.0,2.81838,100.0
8-303,100.0,31.6228,100.0,2.81838,8.91251
8-303,100.0,31.6228,50.1187,2.81838,8.91251
8-303,100.0,31.6228,50.1187,3.6426100000000003,8.91251
8-303,100.0,31.6228,50.1187,3.6426100000000003,8.91251
8-303,100.0,31.6228,50.1187,4.35516,8.91251
8-303,100.0,37.081399999999995,50.1187,4.35516,8.91251
8-303,100.0,39.8107,100.0,5.14748,100.0
8-303,100.0,39.8107,100.0,5.14748,22.3872
8-303,75.3768,39.8107,100.0,5.14748,22.3872
8-303,75.3768,39.8107,12.5893,5.31764,22.3872
8-303,75.3768,39.8107,12.5893,5.31764,15.649854999999999
8-303,50.1187,100.0,12.5893,5.62341,15.649854999999999
8-303,50.1187,100.0,12.5893,5.62341,12.8249275
8-303,50.1187,100.0,12.5893,5.62341,12.8249275
8-303,100.0,100.0,12.5893,100.0,9.347506
8-303,100.0,100.0,12.5893,3.98107,9.456254999999999
8-303,100.0,100.0,12.5893,3.98107,9.456254999999999
8-303,100.0,100.0,12.5893,3.98107,9.456254999999999
8-303,100.0,100.0,12.5893,3.98107,9.456254999999999
8-303,100.0,100.0,12.5893,3.98107,7.814367999999999
8-303,100.0,100.0,12.5893,4.223955,7.814367999999999
8-303,100.0,100.0,16.50846,4.223955,7.814367999999999
8-303,100.0,100.0,100.0,100.0,100.0
8-303,100.0,100.0,100.0,100.0,3.16228
8-303,100.0,35.4813,100.0,100.0,3.16228
8-303,100.0,35.4813,12.5893,100.0,3.16228
8-303,100.0,35.4813,12.5893,100.0,3.3552049999999998
8-303,100.0,25.6651,12.5893,100.0,3.3552049999999998
8-303,100.0,25.6651,10.750905,100.0,3.3552049999999998
8-303,100.0,23.48338,10.750905,100.0,3.3552049999999998
8-303,100.0,23.48338,10.750905,100.0,3.4709600000000003
8-303,100.0,23.48338,17.356384,100.0,3.4709600000000003
8-303,100.0,23.48338,17.356384,100.0,3.4709600000000003
8-303,100.0,20.4839,18.548155,100.0,4.652706
8-303,100.0,20.4839,18.091742000000004,100.0,4.652706
8-303,100.0,25.1189,18.091742000000004,2.51189,4.92885
8-303,100.0,25.1189,18.091742000000004,2.51189,4.92885
8-303,100.0,100.0,20.38655,2.51189,4.92885
8-303,100.0,100.0,12.5893,2.51189,6.30957
8-303,100.0,100.0,12.5893,2.51189,7.39871
8-303,100.0,100.0,12.5893,5.2275849999999995,7.94328
8-303,100.0,100.0,12.5893,5.2275849999999995,7.94328
8-303,100.0,100.0,12.5893,5.2275849999999995,7.94328
8-303,100.0,100.0,12.5893,5.2275849999999995,5.38083
8-303,100.0,100.0,12.5893,6.132816666666667,5.38083
8-303,100.0,100.0,12.5893,6.132816666666667,5.38083
8-303,100.0,100.0,100.0,100.0,3.16228
8-303,100.0,100.0,100.0,100.0,3.16228
8-303,100.0,100.0,100.0,3.16228,3.16228
8-303,100.0,100.0,8.91251,3.16228,3.16228
8-303,100.0,14.1254,8.91251,3.16228,3.16228
8-303,100.0,14.1254,8.91251,3.16228,2.99033
8-303,100.0,14.1254,8.91251,2.837085,2.99033
8-303,100.0,14.1254,8.91251,2.728686666666667,2.99033
8-303,100.0,14.1254,9.456254999999999,2.728686666666667,2.99033
8-303,100.0,13.35735,9.456254999999999,2.728686666666667,2.99033
8-303,100.0,13.35735,9.456254999999999,2.728686666666667,5.324812
8-303,100.0,13.35735,9.456254999999999,2.728686666666667,5.324812
8-303,100.0,13.35735,9.456254999999999,2.6048028571428574,5.324812
8-303,100.0,12.5893,10.0,2.51189,5.865444999999999
8-303,100.0,12.5893,10.0,2.51189,5.865444999999999
8-303,100.0,12.5893,10.0,4.322353333333333,5.865444999999999
8-303,100.0,12.5893,12.750266666666667,4.322353333333333,5.865444999999999
8-303,100.0,17.498166666666666,12.750266666666667,4.322353333333333,5.865444999999999
8-303,100.0,17.498166666666666,11.215163999999998,4.684445999999999,8.91251
8-303,100.0,17.498166666666666,11.215163999999998,4.684445999999999,8.91251
8-303,100.0,17.498166666666666,11.215163999999998,4.684445999999999,5.624883333333333
8-303,100.0,17.498166666666666,11.215163999999998,4.322353333333333,5.624883333333333
8-303,100.0,19.9526,17.663604,4.684445999999999,3.98107
8-303,100.0,19.9526,17.663604,5.2275849999999995,3.98107
8-303,100.0,19.9526,16.21380285714286,5.2275849999999995,3.98107
8-303,100.0,19.9526,16.21380285714286,3.8583240000000005,3.98107
8-303,100.0,19.9526,16.21380285714286,3.8583240000000005,3.2059433333333334
8-303,100.0,44.6684,20.38655,3.16228,2.81838
8-303,100.0,44.6684,24.285175000000002,3.16228,2.81838
8-303,100.0,44.6684,24.285175000000002,3.1622800000000004,2.81838
8-303,100.0,44.6684,24.285175000000002,3.1622800000000004,3.5935066666666664
8-303,100.0,100.0,100.0,100.0,3.54813
8-303,100.0,17.7828,100.0,100.0,3.54813
8-303,70.7946,17.7828,100.0,100.0,3.54813
8-303,70.7946,17.7828,100.0,2.51189,3.54813
8-303,70.7946,17.7828,10.0,2.51189,3.54813
8-303,70.7946,17.7828,10.0,2.51189,3.54813
8-303,70.7946,17.7828,4.663506666666667,2.51189,3.54813
8-303,70.7946,17.7828,4.663506666666667,2.51189,10.599643333333335
8-303,70.7946,43.417,4.663506666666667,2.51189,10.599643333333335
8-303,100.0,39.310649999999995,1.99526,100.0,14.1254
8-303,100.0,39.310649999999995,5.99763,100.0,14.1254
8-303,100.0,39.310649999999995,5.99763,11.2202,14.1254
8-303,100.0,32.85796666666666,5.99763,11.2202,14.1254
8-303,100.0,32.85796666666666,5.99763,11.2202,11.03434
8-303,100.0,32.85796666666666,7.964055999999999,11.2202,11.03434
8-303,100.0,32.85796666666666,7.964055999999999,11.2202,11.03434
8-303,100.0,32.85796666666666,7.964055999999999,11.2202,9.567395999999999
8-303,100.0,21.1699,8.396787999999999,11.2202,8.427895
8-303,100.0,19.9526,7.995984999999999,100.0,7.985443999999999
8-303,100.0,19.9526,7.791597999999999,100.0,7.985443999999999
8-303,100.0,40.06333333333333,7.791597999999999,100.0,7.985443999999999
8-303,100.0,50.1187,7.791597999999999,100.0,7.138114
8-303,100.0,50.1187,8.283924999999998,100.0,7.138114
8-303,100.0,50.1187,8.283924999999998,5.62341,7.138114
8-303,100.0,37.6188,8.283924999999998,5.62341,7.138114
8-303,100.0,100.0,12.5893,100.0,100.0
8-303,100.0,100.0,12.5893,100.0,100.0
8-303,100.0,100.0,12.5893,100.0,8.91251
8-303,100.0,100.0,12.5893,15.8489,8.91251
8-303,100.0,28.1838,12.5893,15.8489,8.91251
8-303,100.0,28.1838,11.90475,15.8489,8.91251
8-303,100.0,28.1838,11.90475,15.8489,8.91251
8-303,100.0,28.1838,11.90475,15.8489,7.690476666666666
8-303,100.0,22.69633333333333,11.90475,15.8489,7.690476666666666
8-303,100.0,22.69633333333333,9.924015,15.8489,7.690476666666666
8-303,100.0,22.69633333333333,9.924015,15.8489,7.690476666666666
8-303,100.0,19.9526,8.253136000000001,15.8489,7.07946
8-303,100.0,19.9526,8.253136000000001,15.8489,7.511369999999999
8-303,100.0,19.9526,7.978416666666665,100.0,7.511369999999999
8-303,100.0,19.9526,7.978416666666665,15.8489,7.511369999999999
8-303,100.0,19.9526,7.978416666666665,15.8489,7.117032
8-303,100.0,19.9526,7.978416666666665,15.8489,6.886328571428572
8-303,100.0,19.9526,7.978416666666665,15.8489,6.886328571428572
8-303,100.0,19.9526,8.44546333333333,15.8489,6.886328571428572
8-303,100.0,19.9526,8.44546333333333,15.8489,6.886328571428572
8-303,100.0,27.732733333333332,8.44546333333333,15.8489,6.886328571428572
8-303,100.0,31.6228,8.5459,15.8489,6.5429571428571425
8-303,100.0,31.6228,9.376231666666667,15.8489,6.5429571428571425
8-303,100.0,31.6228,10.270582000000001,15.8489,6.30957
8-303,100.0,100.0,10.6101,100.0,6.30957
8-303,100.0,100.0,10.6101,100.0,6.30957
8-303,100.0,100.0,9.075824,100.0,6.30957
8-303,100.0,100.0,9.075824,100.0,6.30957
8-303,100.0,100.0,11.2202,100.0,100.0
8-303,100.0,19.9526,11.2202,100.0,100.0
8-303,100.0,19.9526,11.2202,100.0,6.30957
8-303,100.0,19.9526,11.2202,100.0,6.694515
8-303,100.0,19.9526,11.2202,100.0,6.694515
8-303,100.0,19.9526,11.2202,4.46684,6.694515
8-303,100.0,30.305066666666665,11.2202,4.46684,6.694515
8-303,100.0,30.305066666666665,11.2202,4.46684,6.694515
8-303,100.0,30.305066666666665,11.2202,4.46684,7.2710099999999995
8-303,100.0,30.305066666666665,9.909432,4.46684,7.2710099999999995
8-303,100.0,26.164080000000002,9.909432,4.46684,7.2710099999999995
8-303,100.0,26.164080000000002,9.909432,10.15787,7.2710099999999995
8-303,100.0,27.716949999999997,8.762509999999999,10.15787,7.94328
8-303,100.0,19.9526,7.943279999999999,15.8489,6.85414
8-303,100.0,100.0,7.511369999999999,100.0,6.30957
8-303,100.0,100.0,7.511369999999999,100.0,7.126424999999999
8-303,100.0,100.0,7.511369999999999,17.7828,7.126424999999999
8-303,100.0,19.9526,7.511369999999999,17.7828,7.126424999999999
8-303,100.0,19.9526,7.511369999999999,17.7828,7.126424999999999
8-303,100.0,19.9526,8.90852,17.7828,7.126424999999999
8-303,100.0,19.9526,9.14983,17.7828,7.2710099999999995
8-303,100.0,19.9526,9.14983,17.7828,7.2710099999999995
8-303,100.0,19.9526,9.081284,17.7828,7.2710099999999995
8-303,100.0,36.4298,9.081284,17.7828,7.511369999999999
8-303,100.0,100.0,100.0,100.0,11.2202
8-303,100.0,100.0,31.6228,100.0,11.2202
8-303,100.0,100.0,20.267655,100.0,11.2202
8-303,100.0,17.7828,20.267655,100.0,11.2202
8-303,89.1251,17.7828,20.267655,100.0,11.2202
8-303,89.1251,17.7828,13.673557500000001,100.0,11.2202
8-303,89.1251,17.7828,13.673557500000001,100.0,11.2202
8-303,76.1104,17.7828,7.690476666666666,100.0,100.0
8-303,76.1104,17.7828,10.752686666666667,100.0,100.0
8-303,76.1104,17.7828,10.939691999999999,100.0,100.0
8-303,76.1104,29.581799999999998,10.939691999999999,100.0,100.0
8-303,76.1104,29.581799999999998,10.939691999999999,19.9526,100.0
8-303,100.0,35.4813,12.132933333333334,19.9526,100.0
8-303,100.0,100.0,12.5893,100.0,12.5893
8-303,100.0,100.0,12.5893,15.8489,12.5893
8-303,70.7946,100.0,12.5893,15.8489,12.5893
8-303,100.0,17.7828,100.0,100.0,100.0
8-303,100.0,17.7828,100.0,17.7828,100.0
8-303,100.0,17.7828,14.1254,17.7828,100.0
8-303,70.7946,17.7828,14.1254,17.7828,100.0
8-303,70.7946,17.7828,11.03434,17.7828,100.0
8-303,70.7946,15.8489,7.94328,100.0,100.0
8-303,70.7946,15.8489,100.0,100.0,100.0
8-303,70.7946,15.8489,100.0,7.07946,100.0
8-303,70.7946,15.8489,100.0,7.07946,12.5893
8-303,70.7946,15.8489,100.0,7.07946,12.5893
8-303,70.7946,15.8489,100.0,7.07946,12.5893
8-303,70.7946,15.8489,100.0,7.07946,12.5893
8-303,70.7946,15.8489,100.0,7.07946,11.90475
8-303,70.7946,15.8489,11.2202,7.07946,11.90475
8-303,100.0,15.8489,11.2202,7.07946,12.041659999999998
8-303,100.0,15.8489,12.6728,7.07946,12.041659999999998
8-303,100.0,100.0,100.0,19.9526,100.0
8-303,100.0,100.0,12.5893,19.9526,100.0
8-303,100.0,100.0,12.5893,19.9526,12.5893
8-303,70.7946,100.0,12.5893,19.9526,12.5893
8-303,70.7946,100.0,12.5893,13.94794,12.5893
8-303,70.7946,15.8489,12.5893,13.94794,12.5893
8-303,70.7946,15.8489,9.83438,13.94794,12.5893
8-303,66.94515,15.8489,9.83438,13.94794,12.5893
8-303,66.94515,15.8489,9.83438,10.345144,12.5893
8-303,66.94515,15.8489,10.385364,10.345144,12.5893
8-303,66.94515,15.8489,9.687625714285714,10.345144,12.5893
8-303,63.0957,15.8489,10.474745714285715,7.94328,100.0
8-303,63.0957,38.695433333333334,10.474745714285715,7.94328,100.0
8-303,63.0957,38.695433333333334,10.474745714285715,12.747008,100.0
8-303,63.0957,50.1187,11.040626666666666,15.909256,100.0
8-303,63.0957,50.1187,11.814963333333333,15.909256,100.0
8-303,100.0,50.1187,12.5893,17.900750000000002,100.0
8-303,100.0,50.1187,12.5893,13.40663,100.0
8-303,100.0,100.0,12.5893,11.222863999999998,100.0
8-303,100.0,100.0,21.7461,11.222863999999998,100.0
8-303,100.0,100.0,21.7461,11.222863999999998,3.98107
8-303,100.0,14.1254,21.7461,11.222863999999998,3.98107
8-303,25.1189,14.1254,24.0353,10.066355,3.98107
8-303,25.1189,14.1254,19.542163999999996,10.066355,3.98107
8-303,25.1189,14.1254,19.542163999999996,10.066355,3.571675
8-303,25.1189,14.98715,19.542163999999996,10.066355,3.571675
8-303,28.1838,100.0,100.0,100.0,100.0
8-303,28.1838,7.94328,100.0,100.0,100.0
8-303,29.9033,7.94328,100.0,100.0,100.0
8-303,29.9033,7.94328,3.54813,100.0,100.0
8-303,29.9033,7.94328,3.54813,100.0,3.98107
8-303,29.9033,7.94328,3.54813,5.62341,3.98107
8-303,29.9033,7.94328,3.54813,5.62341,3.98107
8-303,24.644000000000002,7.94328,3.54813,5.62341,3.98107
8-303,24.644000000000002,7.94328,3.54813,5.62341,3.98107
8-303,24.644000000000002,7.94328,3.54813,5.62341,3.98107
8-303,24.644000000000002,7.943279999999999,3.54813,5.62341,3.98107
8-303,22.874100000000002,7.94328,3.54813,5.62341,3.98107
8-303,22.874100000000002,7.94328,3.54813,5.62341,3.98107
8-303,22.874100000000002,7.94328,3.7645999999999997,5.62341,3.98107
8-303,25.790333333333336,7.94328,3.8367566666666666,100.0,100.0
8-303,31.6228,7.94328,5.530265,100.0,100.0
8-303,31.6228,12.064693333333333,5.530265,100.0,100.0
8-303,31.6228,12.064693333333333,5.530265,100.0,100.0
8-303,31.6228,12.064693333333333,5.530265,100.0,7.07946
8-303,22.874100000000002,12.064693333333333,5.530265,100.0,7.07946
8-303,22.874100000000002,12.064693333333333,5.530265,100.0,7.511369999999999
8-303,22.874100000000002,14.1254,5.013866666666666,100.0,7.511369999999999
8-303,14.1254,13.101333333333335,5.013866666666666,100.0,7.511369999999999
8-303,14.1254,13.101333333333335,5.013866666666666,100.0,6.185632
8-303,14.1254,13.101333333333335,5.013866666666666,100.0,6.185632
8-303,100.0,7.07946,100.0,100.0,100.0
8-303,100.0,7.07946,100.0,3.16228,100.0
8-303,100.0,7.07946,100.0,3.16228,100.0
8-303,100.0,7.07946,100.0,3.16228,5.01187
8-303,35.4813,7.07946,100.0,3.16228,5.01187
8-303,35.4813,7.07946,4.46684,3.16228,5.01187
8-303,35.4813,7.07946,4.46684,3.16228,4.739355
8-303,35.4813,7.07946,4.46684,3.16228,4.739355
8-303,35.4813,7.07946,4.46684,3.81456,4.739355
8-303,35.4813,7.07946,5.77315,3.81456,4.739355
8-303,35.4813,7.07946,6.496526666666667,3.81456,4.739355
8-303,35.4813,7.07946,6.496526666666667,3.81456,4.4865933333333325
8-303,35.4813,7.07946,6.496526666666667,4.42394,4.4865933333333325
8-303,30.6163,7.07946,6.496526666666667,4.42394,4.4865933333333325
8-303,28.1838,7.07946,5.746219999999999,4.739355,4.223955
8-303,28.1838,100.0,3.98107,100.0,100.0
8-303,28.1838,100.0,3.98107,10.0,100.0
8-303,100.0,100.0,3.98107,10.0,100.0
8-303,100.0,100.0,3.98107,10.0,3.54813
8-303,100.0,10.0,3.98107,10.0,3.54813
8-303,100.0,10.0,5.533403333333333,10.0,3.54813
8-303,100.0,10.6101,5.533403333333333,10.0,3.54813
8-303,100.0,10.6101,5.533403333333333,9.275006666666666,3.54813
8-303,100.0,100.0,100.0,3.98107,100.0
8-303,12.5893,100.0,100.0,3.98107,100.0
8-303,12.5893,100.0,7.07946,3.98107,100.0
8-303,12.5893,100.0,7.07946,3.98107,4.46684
8-303,12.5893,100.0,5.530265,3.98107,4.46684
8-303,12.5893,100.0,5.530265,3.98107,5.77315
8-303,12.5893,7.94328,5.530265,3.98107,5.77315
8-303,12.5893,7.94328,5.530265,5.962175,5.77315
8-303,22.10605,7.94328,5.530265,5.962175,5.77315
8-303,22.10605,7.94328,5.530265,4.721023333333334,5.77315
8-303,19.445833333333333,7.94328,5.530265,4.721023333333334,5.77315
8-303,23.90447142857143,7.94328,5.530265,4.721023333333334,5.77315
8-303,23.90447142857143,7.94328,5.530265,6.683638571428572,5.77315
8-303,23.90447142857143,7.94328,5.530265,6.683638571428572,5.77315
8-303,23.90447142857143,7.94328,4.7556674999999995,6.683638571428572,5.77315
8-303,25.790333333333336,14.502960000000002,3.9810700000000003,7.134066666666667,7.07946
8-303,25.790333333333336,14.502960000000002,3.6535539999999997,7.134066666666667,7.07946
8-303,22.874100000000002,17.7828,3.571675,6.7294599999999996,6.30957
8-303,25.528950000000002,17.7828,3.571675,6.7294599999999996,6.30957
8-303,25.528950000000002,17.7828,3.571675,4.48409,6.30957
8-303,25.528950000000002,17.7828,4.31049,4.48409,6.30957
8-303,29.330133333333336,17.7828,4.31049,4.035016000000001,6.30957
8-303,28.1838,17.7828,4.3928449999999994,2.23872,6.30957
8-303,28.1838,17.7828,4.886568,2.23872,6.30957
8-303,28.1838,22.673533333333335,4.886568,2.23872,6.30957
8-303,28.1838,22.673533333333335,4.886568,2.23872,7.39871
8-303,28.1838,22.673533333333335,4.886568,4.520543999999999,7.39871
8-303,76.06126666666667,22.673533333333335,4.886568,4.520543999999999,7.39871
