label,id,timestamp,ble_id,place,proxi,detector,batt
8-303,399274624,1717578342,15153,8-302,22.3872,0,0
8-303,399274625,1717578342,15153,8-322,1.25892,1,0
8-303,399274632,1717578344,15162,8-320,79.4328,1,0
8-303,399274634,1717578345,15155,8-322,25.1189,0,0
8-303,399274635,1717578345,15162,8-322,35.4813,0,0
8-303,399274640,1717578346,15162,8-303,6.30957,0,0
8-303,399274641,1717578346,15162,8-302,5.01187,1,0
8-303,399274642,1717578346,15162,8-303,6.30957,1,0
8-303,399274644,1717578346,15155,8-302,70.7946,0,0
8-303,399274645,1717578346,15162,8-322,1.12202,1,0
8-303,399274646,1717578346,15162,8-302,19.9526,0,0
8-303,399274651,1717578348,15159,8-302,125.893,1,2880
8-303,399274653,1717578348,15163,8-302,28.1838,1,0
8-303,399274654,1717578348,15163,8-303,31.6228,0,0
8-303,399274656,1717578348,15159,8-303,50.1187,1,2880
8-303,399274657,1717578348,15159,8-322,25.1189,1,2880
8-303,399274658,1717578348,15163,8-303,5.01187,1,0
8-303,399274660,1717578348,15153,8-302,15.8489,0,0
8-303,399274661,1717578348,15153,8-322,1.25892,1,0
8-303,399274664,1717578349,15153,8-320,31.6228,1,0
8-303,399274666,1717578349,15153,8-322,14.1254,0,0
8-303,399274667,1717578349,15164,8-322,11.2202,0,0
8-303,399274668,1717578350,15153,8-417,15.8489,0,0
8-303,399274669,1717578350,15164,8-302,14.1254,1,0
8-303,399274671,1717578350,15164,8-303,6.30957,0,0
8-303,399274672,1717578350,15164,8-302,17.7828,0,0
8-303,399274674,1717578350,15164,8-322,0.794328,1,0
8-303,399274675,1717578350,15164,8-303,3.54813,1,0
8-303,399274680,1717578352,15160,8-303,100.0,0,2916
8-303,399274682,1717578352,15160,8-302,281.838,0,2916
8-303,399274686,1717578353,15162,8-322,17.7828,0,0
8-303,399274687,1717578353,15160,8-322,100.0,0,2916
8-303,399274689,1717578354,15155,8-302,22.3872,1,0
8-303,399274690,1717578354,15160,8-303,63.0957,0,2916
8-303,399274691,1717578354,15155,8-322,3.16228,1,0
8-303,399274692,1717578354,15160,8-302,100.0,1,2916
8-303,399274693,1717578354,15155,8-302,89.1251,0,0
8-303,399274694,1717578354,15162,8-302,28.1838,0,0
8-303,399274700,1717578356,15163,8-322,1.99526,1,0
8-303,399274701,1717578356,15153,8-302,31.6228,0,0
8-303,399274703,1717578356,15153,8-303,14.1254,0,0
8-303,399274704,1717578356,15153,8-302,3.54813,1,0
8-303,399274705,1717578356,15161,8-322,10.0,1,2879
8-303,399274706,1717578356,15163,8-303,7.94328,0,0
8-303,399274707,1717578356,15161,8-302,79.4328,1,2879
8-303,399274710,1717578357,15153,8-303,7.94328,1,0
8-303,399274711,1717578357,15161,8-303,100.0,1,2879
8-303,399274713,1717578357,15153,8-320,44.6684,1,0
8-303,399274715,1717578357,15153,8-322,12.5893,0,0
8-303,399274716,1717578358,15161,8-322,100.0,0,2879
8-303,399274721,1717578359,15164,8-303,6.30957,0,0
