label,8-302-0,8-302-1,8-303-0,8-303-1,8-320-0,8-320-1,8-322-0,8-322-1,8-417-0
8-302,170.39,100.0,300.0,63.51435,300.0,300.0,300.0,300.0,300.0
8-302,170.39,100.0,300.0,68.8205,300.0,300.0,300.0,300.0,300.0
8-302,170.39,120.627,300.0,68.8205,300.0,300.0,300.0,300.0,300.0
8-302,141.254,120.627,300.0,66.78203333333333,300.0,300.0,300.0,300.0,300.0
8-302,141.254,120.627,300.0,66.78203333333333,300.0,300.0,300.0,25.1189,300.0
8-302,141.254,141.254,300.0,66.78203333333333,300.0,300.0,300.0,25.1189,300.0
8-302,159.541,141.254,300.0,66.78203333333333,300.0,300.0,300.0,25.1189,300.0
8-302,177.828,300.0,300.0,93.13409999999999,300.0,300.0,300.0,25.1189,300.0
8-302,177.828,300.0,300.0,93.13409999999999,300.0,300.0,300.0,26.65135,300.0
8-302,188.67700000000002,300.0,300.0,114.6418,300.0,300.0,300.0,28.1838,300.0
8-302,188.67700000000002,300.0,300.0,114.6418,300.0,300.0,300.0,26.65135,300.0
8-302,188.67700000000002,300.0,300.0,109.76119999999999,300.0,300.0,300.0,26.65135,300.0
8-302,155.864,300.0,300.0,129.24450000000002,300.0,300.0,300.0,26.65135,300.0
8-302,133.6177,300.0,300.0,100.0,300.0,300.0,300.0,25.1189,300.0
8-302,133.6177,300.0,300.0,112.9465,300.0,300.0,300.0,25.1189,300.0
8-302,133.6177,44.6684,300.0,112.9465,300.0,300.0,300.0,25.1189,300.0
8-302,125.21327500000001,44.6684,300.0,112.9465,300.0,300.0,300.0,25.1189,300.0
8-302,100.44236666666666,57.7315,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,97.61304999999999,57.7315,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,97.61304999999999,59.51956666666666,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,94.56255,59.51956666666666,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,94.56255,60.413599999999995,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,94.56255,65.020425,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,89.5193,65.020425,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,89.7164,63.0957,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,89.5193,63.0957,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,84.27895000000001,63.0957,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,85.89433333333334,63.0957,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,85.89433333333334,63.0957,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,85.89433333333334,63.0957,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,85.89433333333334,51.453199999999995,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,84.27895,51.453199999999995,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,82.66356666666667,39.8107,300.0,116.76566666666668,300.0,300.0,300.0,300.0,300.0
8-302,79.696325,39.8107,300.0,116.76566666666668,300.0,300.0,300.0,300.0,300.0
8-302,79.696325,39.8107,300.0,112.57425,300.0,300.0,300.0,300.0,300.0
8-302,79.696325,48.0224,300.0,112.57425,300.0,300.0,300.0,300.0,300.0
8-302,76.5534,48.72116666666667,300.0,112.69833333333334,300.0,300.0,300.0,300.0,300.0
8-302,77.27325,48.72116666666667,300.0,112.69833333333334,300.0,300.0,300.0,300.0,300.0
8-302,75.1137,53.1764,300.0,108.13466666666666,300.0,300.0,300.0,300.0,300.0
8-302,79.78416666666666,53.1764,300.0,108.13466666666666,300.0,300.0,300.0,300.0,300.0
8-302,79.78416666666666,54.19563333333334,300.0,108.13466666666666,300.0,300.0,300.0,300.0,300.0
8-302,79.78416666666666,54.70525000000001,300.0,108.13466666666666,300.0,300.0,300.0,300.0,300.0
8-302,84.27895000000001,46.92645,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,103.27063333333335,46.92645,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,103.27063333333335,46.92645,300.0,145.015,300.0,300.0,300.0,300.0,300.0
8-302,103.27063333333335,55.36618000000001,300.0,145.015,300.0,300.0,300.0,300.0,300.0
8-302,106.50139999999999,56.67805,300.0,145.015,300.0,300.0,300.0,300.0,300.0
8-302,106.50139999999999,56.67805,300.0,149.50633333333334,300.0,300.0,300.0,300.0,300.0
8-302,106.50139999999999,54.276120000000006,300.0,149.50633333333334,300.0,300.0,300.0,300.0,300.0
8-302,104.87604999999999,54.276120000000006,300.0,149.50633333333334,300.0,300.0,300.0,300.0,300.0
8-302,104.87604999999999,52.9708,300.0,168.1585,300.0,300.0,300.0,300.0,300.0
8-302,104.87604999999999,52.9708,300.0,164.93533333333335,300.0,300.0,300.0,300.0,300.0
8-302,104.87604999999999,46.007825,300.0,164.93533333333335,300.0,300.0,300.0,300.0,300.0
8-302,92.75006666666667,33.80336666666667,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,109.1848,33.80336666666667,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,109.1848,33.80336666666667,300.0,143.06,300.0,300.0,300.0,300.0,300.0
8-302,107.34783999999999,33.80336666666667,300.0,143.06,300.0,300.0,300.0,300.0,300.0
8-302,115.87136666666667,33.80336666666667,300.0,135.34550000000002,300.0,300.0,300.0,300.0,300.0
8-302,115.87136666666667,33.80336666666667,300.0,137.31500000000003,300.0,300.0,300.0,300.0,300.0
8-302,111.903525,33.80336666666667,300.0,137.31500000000003,300.0,300.0,300.0,300.0,300.0
8-302,111.903525,34.22285,300.0,137.31500000000003,300.0,300.0,300.0,300.0,300.0
8-302,111.903525,34.22285,300.0,152.86775,300.0,300.0,300.0,300.0,300.0
8-302,117.67275000000001,37.2575,300.0,150.994,300.0,300.0,300.0,300.0,300.0
8-302,117.67275000000001,45.641775,300.0,150.994,300.0,300.0,300.0,300.0,300.0
8-302,104.06733333333334,48.903175,300.0,170.39,300.0,300.0,300.0,300.0,300.0
8-302,106.101,48.903175,300.0,160.678,300.0,300.0,300.0,300.0,300.0
8-302,106.101,59.12254,300.0,160.678,300.0,300.0,300.0,300.0,300.0
8-302,104.06733333333334,59.12254,300.0,160.678,300.0,300.0,300.0,300.0,300.0
8-302,112.69833333333334,71.821,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,115.99700000000001,71.821,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,117.262,69.2547,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,117.262,69.2547,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,115.997,69.2547,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,115.997,74.22229999999999,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,121.32933333333334,76.1104,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,122.47025,76.1104,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,122.47025,71.77216666666666,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,119.0475,59.425925,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,96.07123333333334,59.425925,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,92.0039,42.74145,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,92.0039,40.321400000000004,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,80.17002500000001,40.321400000000004,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,80.17002500000001,37.287,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,64.92903333333332,27.7928,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,58.649449999999995,27.7928,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,58.649449999999995,26.71168,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,56.072449999999996,27.7928,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,56.072449999999996,27.871,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,39.8107,25.2022,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,39.8107,25.2022,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,39.8107,25.2022,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,42.387699999999995,25.2022,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,60.485524999999996,26.65135,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,60.485524999999996,26.65135,300.0,159.541,300.0,300.0,300.0,300.0,300.0
8-302,60.485524999999996,26.65135,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,60.485524999999996,29.594666666666665,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,56.350559999999994,29.594666666666665,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,56.350559999999994,30.3001,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,56.350559999999994,28.57303333333333,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,56.350559999999994,28.57303333333333,300.0,153.44533333333334,300.0,300.0,300.0,19.9526,300.0
8-302,52.87234999999999,28.57303333333333,300.0,153.44533333333334,300.0,300.0,300.0,19.9526,300.0
8-302,56.826175,30.3001,300.0,153.44533333333334,300.0,300.0,300.0,19.9526,300.0
8-302,61.347500000000004,30.3001,300.0,153.44533333333334,300.0,300.0,300.0,19.9526,300.0
8-302,61.347500000000004,33.4703,300.0,153.44533333333334,300.0,300.0,300.0,19.9526,300.0
8-302,60.49526666666667,33.4703,300.0,153.44533333333334,300.0,300.0,300.0,19.9526,300.0
8-302,60.49526666666667,33.4703,300.0,150.3975,300.0,300.0,300.0,19.9526,300.0
8-302,52.73972500000001,30.016166666666663,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,58.078340000000004,30.016166666666663,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,58.078340000000004,30.016166666666663,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,69.54885,32.4648,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,69.54885,31.0378,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,68.5414,26.65135,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,68.5414,26.140533333333334,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,75.39713333333333,26.65135,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,75.39713333333333,29.594666666666665,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,75.39713333333333,29.594666666666665,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,81.54785,38.944766666666666,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,84.0736,38.944766666666666,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,84.0736,38.944766666666666,300.0,179.0075,300.0,300.0,300.0,300.0,300.0
8-302,94.56255,43.842033333333326,300.0,179.0075,300.0,300.0,300.0,300.0,300.0
8-302,100.44236666666666,43.842033333333326,300.0,179.0075,300.0,300.0,300.0,300.0,300.0
8-302,97.61304999999999,43.842033333333326,300.0,179.0075,300.0,300.0,300.0,300.0,300.0
8-302,92.47125,48.0224,300.0,199.526,300.0,300.0,300.0,300.0,300.0
8-302,92.47125,55.61313333333334,300.0,199.526,300.0,300.0,300.0,300.0,300.0
8-302,92.47125,55.61313333333334,300.0,199.526,300.0,300.0,300.0,25.1189,300.0
8-302,95.189975,55.30265,300.0,300.0,300.0,300.0,300.0,25.1189,300.0
8-302,95.189975,51.7579,300.0,300.0,300.0,300.0,300.0,25.1189,300.0
8-302,95.189975,51.7579,300.0,177.828,300.0,300.0,300.0,25.1189,300.0
8-302,104.40278,51.7579,300.0,177.828,300.0,300.0,300.0,25.1189,300.0
8-302,106.89559999999999,51.7579,300.0,177.828,300.0,300.0,300.0,25.1189,300.0
8-302,106.89559999999999,51.7579,300.0,229.83300000000003,300.0,300.0,300.0,25.1189,300.0
8-302,111.64495,51.7579,300.0,229.83300000000003,300.0,300.0,300.0,25.1189,300.0
8-302,122.38233333333334,42.239549999999994,300.0,212.49800000000002,300.0,300.0,300.0,300.0,300.0
8-302,119.83725,42.239549999999994,300.0,212.49800000000002,300.0,300.0,300.0,300.0,300.0
8-302,119.83725,43.04916666666666,300.0,212.49800000000002,300.0,300.0,300.0,300.0,300.0
8-302,119.0475,44.865933333333324,300.0,229.83300000000003,300.0,300.0,300.0,300.0,300.0
8-302,138.641,44.865933333333324,300.0,229.83300000000003,300.0,300.0,300.0,300.0,300.0
8-302,138.641,42.519774999999996,300.0,229.83300000000003,300.0,300.0,300.0,300.0,300.0
8-302,143.76133333333334,43.422799999999995,300.0,177.828,300.0,300.0,300.0,300.0,300.0
8-302,143.76133333333334,43.734199999999994,300.0,177.828,300.0,300.0,300.0,300.0,300.0
8-302,143.76133333333334,43.734199999999994,300.0,177.828,300.0,300.0,300.0,300.0,300.0
8-302,159.541,39.613049999999994,300.0,177.828,300.0,300.0,300.0,300.0,300.0
8-302,159.541,35.68095999999999,300.0,177.828,300.0,300.0,300.0,300.0,300.0
8-302,148.32500000000002,35.68095999999999,300.0,177.828,300.0,300.0,300.0,300.0,300.0
8-302,148.32500000000002,35.68095999999999,300.0,177.828,300.0,300.0,300.0,14.1254,300.0
8-302,133.5735,29.480925,300.0,177.828,300.0,300.0,300.0,14.1254,300.0
8-302,122.38233333333334,29.480925,300.0,177.828,300.0,300.0,300.0,14.1254,300.0
8-302,122.38233333333334,29.480925,300.0,159.541,300.0,300.0,300.0,14.1254,300.0
8-302,112.9465,28.2665,300.0,141.254,300.0,300.0,300.0,14.1254,300.0
8-302,117.262,28.2665,300.0,141.254,300.0,300.0,300.0,14.1254,300.0
8-302,117.262,30.57534,300.0,141.254,300.0,300.0,300.0,14.1254,300.0
8-302,112.9465,34.91343333333333,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,112.9465,37.352174999999995,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,112.69833333333334,37.352174999999995,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,112.69833333333334,36.2063,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,119.0475,37.50708,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,119.0475,37.50708,300.0,168.1585,300.0,300.0,300.0,300.0,300.0
8-302,121.32933333333334,37.50708,300.0,168.1585,300.0,300.0,300.0,300.0,300.0
8-302,121.32933333333334,37.169450000000005,300.0,168.1585,300.0,300.0,300.0,300.0,300.0
8-302,119.0475,35.848825,300.0,164.93533333333335,300.0,300.0,300.0,300.0,300.0
8-302,119.0475,34.315819999999995,300.0,164.93533333333335,300.0,300.0,300.0,300.0,300.0
8-302,132.19466666666668,34.315819999999995,300.0,164.93533333333335,300.0,300.0,300.0,300.0,300.0
8-302,142.191,31.762633333333337,300.0,154.07000000000002,300.0,300.0,300.0,300.0,300.0
8-302,142.191,32.6923,300.0,154.07000000000002,300.0,300.0,300.0,300.0,300.0
8-302,154.07000000000002,32.6923,300.0,154.07000000000002,300.0,300.0,300.0,300.0,300.0
8-302,206.05166666666665,31.832549999999998,300.0,142.191,300.0,300.0,300.0,300.0,300.0
8-302,206.05166666666665,33.0488,300.0,142.191,300.0,300.0,300.0,300.0,300.0
8-302,14.98715,14.832500000000001,35.4813,38.61055,300.0,300.0,300.0,6.351435,300.0
8-302,18.3644,14.832500000000001,35.4813,38.61055,300.0,300.0,300.0,6.351435,300.0
8-302,18.3644,14.832500000000001,35.4813,38.61055,300.0,300.0,35.4813,6.351435,300.0
8-302,18.3644,18.170325000000002,35.4813,38.61055,300.0,300.0,35.4813,6.351435,300.0
8-302,18.3644,18.170325000000002,33.55205,38.61055,300.0,300.0,35.4813,6.351435,300.0
8-302,18.3644,18.170325000000002,33.55205,38.61055,300.0,300.0,35.4813,5.904913333333333,300.0
8-302,16.920624999999998,18.170325000000002,33.55205,38.61055,300.0,300.0,35.4813,5.904913333333333,300.0
8-302,16.920624999999998,16.780300000000004,33.55205,38.61055,300.0,300.0,35.4813,5.904913333333333,300.0
8-302,19.17326,16.780300000000004,33.55205,38.61055,300.0,300.0,35.4813,5.904913333333333,300.0
8-302,19.17326,16.780300000000004,33.55205,38.61055,300.0,300.0,35.4813,5.2192549999999995,300.0
8-302,21.248183333333333,16.780300000000004,33.55205,38.61055,300.0,300.0,35.4813,5.2192549999999995,300.0
8-302,21.248183333333333,16.780300000000004,33.55205,38.61055,300.0,300.0,35.4813,5.177777999999999,300.0
8-302,19.485944285714286,16.780300000000004,33.55205,38.61055,300.0,300.0,35.4813,5.177777999999999,300.0
8-302,19.485944285714286,16.780300000000004,33.55205,40.62983333333333,300.0,300.0,35.4813,5.177777999999999,300.0
8-302,19.485944285714286,16.780300000000004,34.19513333333333,40.62983333333333,300.0,300.0,35.4813,5.177777999999999,300.0
8-302,19.485944285714286,19.897133333333333,34.19513333333333,40.62983333333333,300.0,300.0,35.4813,5.177777999999999,300.0
8-302,19.485944285714286,21.080942857142855,34.19513333333333,40.62983333333333,300.0,300.0,35.4813,5.177777999999999,300.0
8-302,19.485944285714286,21.080942857142855,34.19513333333333,40.62983333333333,300.0,300.0,35.4813,5.366409999999999,300.0
8-302,18.164265,21.080942857142855,34.19513333333333,40.62983333333333,300.0,300.0,35.4813,5.366409999999999,300.0
8-302,18.49503142857143,22.496216666666665,35.599025,40.62983333333333,300.0,300.0,35.4813,5.366409999999999,300.0
8-302,18.49503142857143,22.496216666666665,35.599025,40.42505,300.0,300.0,35.4813,5.366409999999999,300.0
8-302,18.49503142857143,22.496216666666665,35.599025,40.42505,300.0,300.0,42.8,5.366409999999999,300.0
8-302,18.49503142857143,23.308728571428567,35.599025,40.42505,300.0,300.0,42.8,5.366409999999999,300.0
8-302,18.49503142857143,23.308728571428567,35.599025,40.30218,300.0,300.0,42.8,5.366409999999999,300.0
8-302,18.49503142857143,23.308728571428567,35.599025,40.30218,300.0,300.0,42.8,5.051534285714285,300.0
8-302,18.49503142857143,23.308728571428567,34.80378,40.30218,300.0,300.0,42.8,5.051534285714285,300.0
8-302,17.90568857142857,24.83928333333333,34.6344,46.846374999999995,300.0,300.0,42.8,4.713546666666667,300.0
8-302,17.90568857142857,25.808357142857144,34.6344,46.846374999999995,300.0,300.0,42.8,4.713546666666667,300.0
8-302,19.1904525,25.808357142857144,34.6344,46.846374999999995,300.0,300.0,42.8,4.713546666666667,300.0
8-302,19.1904525,25.808357142857144,34.6344,41.42993333333333,300.0,300.0,42.8,5.174937142857142,300.0
8-302,19.1904525,25.808357142857144,34.6344,34.6038,300.0,300.0,42.8,5.174937142857142,300.0
