label,ble_id,C0,C1,C2,C3
8-302,15070,-3.6954191617432683,2.9783959114898346,-0.5380881737177761,-0.6347444095194574
8-302,15070,-3.7014933764890805,2.977328785352368,-0.5418703647931051,-0.6386964633012333
8-302,15070,-3.615433592735943,2.9729779688784754,-0.5627692253288814,-0.657399212135755
8-302,15070,-3.640066398221062,2.9686504447996773,-0.5781071712140455,-0.6734260034408104
8-302,15070,-4.114918070275884,2.5309829911143833,0.49529724940008923,0.2669161267913783
8-302,15070,-4.120096017715068,2.5300733224111838,0.49207313115394,0.2635472095543031
8-302,15070,-4.089648444843806,2.469892422261005,0.4676765156135628,0.2596195659590964
8-302,15070,-4.065651779530095,2.4741081883871443,0.4826183603104014,0.27523246669963275
8-302,15070,-4.052583140069363,2.4861534616640792,0.45307663982353963,0.2493528226066394
8-302,15070,-4.045203832672228,2.4101034252738827,0.4064983780474355,0.22613590252023288
8-302,15070,-4.049560045825805,2.4060883341815713,0.4163456182097228,0.2347624505512306
8-302,15070,-4.041147084000729,2.40756633452116,0.4215840614428711,0.24023615850988592
8-302,15070,-4.033290739692317,2.3727363084697544,0.4025189069953542,0.2322308585830725
8-302,15070,-4.1375810381237565,2.61551475576384,0.5103274139145092,0.25895808458320124
8-302,15070,-4.118806356269903,2.6188131168800113,0.52201772074779,0.2711734170215746
8-302,15070,-4.276047909665137,2.626762580741725,0.5602024471266321,0.30534558375553844
8-302,15070,-4.316520818399688,2.7067589761733033,0.5926320269283624,0.3105664649549288
8-302,15070,-4.361357308283239,2.711549368405543,0.6131747833533053,0.3299923500623031
8-302,15070,-4.402109521014026,2.7920978198574846,0.6458281600482684,0.3352492606212937
8-302,15070,-4.426081813610924,2.7933097569667704,0.6516496201758294,0.34045898516247475
8-302,15070,-4.561942985245306,2.8725607984635584,0.7124121198254382,0.37411326050806715
8-302,15070,-4.55298345375046,2.872107842674848,0.7102363765106073,0.3721661504885515
8-302,15070,-4.495017201383139,2.884325029935849,0.729117435207291,0.39375393255029933
8-302,15070,-4.531220379921442,2.95588212520728,0.7581258238848746,0.3984240316387656
8-302,15070,-4.531897870480329,3.0608289605318912,0.8246510904319354,0.4332255974867304
8-302,15070,-4.547214127729857,3.0911021830349,0.836923491953533,0.43520134773595387
8-302,15070,-4.596544330138633,3.0726864300784453,0.8438864651456733,0.437488206097964
8-302,15070,-4.608456974666043,3.096232269803008,0.8534316663291389,0.4390249007362489
8-302,15070,-4.192046340774442,3.688225399794485,-0.14746588810070915,-0.4797182778553575
8-302,15070,-4.186021922414753,3.689283777636508,-0.14371470341140058,-0.4757986229933313
8-302,15070,-4.214309126554845,3.690713858313054,-0.1368454050180119,-0.46965117001133727
8-302,15070,-4.224361487132585,3.7105827690718995,-0.1287907867623861,-0.46835444630180545
8-302,15070,-4.247969314447256,3.744278733820458,-0.11845297756118998,-0.4700058952921866
8-302,15070,-4.2633092723604875,3.7745988016757015,-0.10616158549532505,-0.46802708772997503
8-302,15070,-4.274130043259344,3.7726977942308024,-0.11289928326112285,-0.47506738352821687
